 Stairs of Covenant (Light),BTLMWC
   Grouse (Alternative Light),Chalk Hills - Redux
Under Muirthemne (Shadow),Under Muirthemne v1.42
Still of Winter (Trow),Still of Winter MWC2020 v1
Smash the Mirror TE (Light),Smash the Mirror TE v1.02
River of Life  (Trow),River of Life MWC2020 v1.1
Primitive Soup (MWC 2025),Magma - MythPack Volume 1 v4
Let Nyx Sort 'Em Out (2 Team),Let Nyx Sort 'Em Out v1.3
Keep Across the River (Dark),Magma TFL Multipack
Hvergelmir - Shadow,Hvergelmir v1.4
Going to Town (FG),Going to Town MWC2020 v1.4
Dwarves of the Borogrove (Light),Borogrove MWC2020 v1.2
"Tresspass (2 Team Shadow, Northwest, Northeast)",Magma - MythPack Volume 1 v5
The Great Divide MWC 2007,The Great Divide MWC 2007
Lichen Unto Death (Light: Expanded),Lichen Unto Death MWC2020 v1.1
Arcane Haven 2t - HGH,Arcane Haven bv0.92
Primitive Soup (MWC 2025),Magma - MythPack Volume 1 v5
"Tresspass (2 Team Shadow, Northwest, Northeast)",Magma - MythPack Volume 1 v4
Mixed Blessings (Light),mixedblessingsmwcv2
Zodiac Hillbillies (Shadow),grims2tpackv2
Valencia Oranges 2-Team (Normal Portals),Aztec Oranges TE 1.1
Under Muirthemne (Light) (2T),Under Muirthemne v1.12
The Great Divide v1.0,The Great Divide v1.0
The Four Leaved Fen (2team) (Venice 2x),The Four Leaved Fen TE v1.1
Sneer of Cold Command (2-Dark),A Shattered Visage TE v1.26
Shimedaiko (Venice X2),Shimedaiko MWC2021 T.E. v1.7
River of Life  (Dark),River of Life MWC2020 v1.1
Rank and Defiled (classic),Rank and Defiled
Ramparts - Light (2T),Peace on the Ramparts TE v1
Primitive Soup (Trow),Magma - MythPack Volume 1 v5
Party of the Dead,PMP2020
One is Not Enough (Trow),One is Not Enough MWC2020 v1
One is Not Enough (2 Team Dark),oinemwc18v1
Monsoon Bay (Trow),Monsoon Bay MWC2020 v1.1
Monsoon Bay (FG),Monsoon Bay MWC2020 v1.1
Lichen Unto Death (Light) ı.ı,grims2tpackv2
Lichen Unto Death (FG) ı.ı,grims2tpackv2
Keep Across the River (TFL-Dark),keep
Greener on the Other Side (2-Team Light),Torn Asunder Beta008
Fosgarach Ruillick (Dark) MWC 2007,Fosgarach_Ruillick_MWC_07
Defilement of the Borogrove (Dark),Borogrove MWC2020 v1.2
Crossing Over (2T Winter),Magma - Legacy of Myth v1.2.1
Cracks in the Cloudspine
Break the Wheel (2-team dark),Break the Wheel TE v1.0
Arcane Haven 2t - Light,Arcane Haven bv0.92
A Wight Wedding (2xMadness),agravereason1.2
 Of All Things (2T Trow),Magma - Legacy of Myth v1.2.1
 After They're Closed (2T Trow),Magma - Legacy of Myth v1.4
  Vertigo (Light),Vertigo 2013 TEv2
   Feeb (Dark),Chalk Hills - Redux
19th Hole,19th Hole v1.0
Rack and Ruin (2 Team),Rack & Ruin MWC2020 v1.1
Quixotism T.E. (Light),Quixotism T.E. v1.3
Pious Earth - Heron ı.ı,shatteredearthv2
Keep Across the River (Light),Magma TFL Multipack
Fractured Earth - Dark ı.ı,shatteredearthv2
Cloudspineless (Light),Cloudspineless v1.3
A Broken Javelin (Dark),grims2tpackv2
Mixed Blessings (Trow),mixedblessingsmwcv2
Yukigassen (Light),Yukigassen MWC2020 v1.1
Yukigassen (Dark Canyon) 2-Team,yukimwc
Venice
Twister vı.3 (2 teams dark),Twister v1.3
Torn Asunder (Dark),Torn Asunder TE v1.0
Titus Groan (Trow),Titus Groan T.E. v1.0
The Vessel (Light),The Vessel TE v1.0
The Melting Point (Trow),MeltingPointTEv2
The Melting Point (Dark),MeltingPointTEv2
The Heroes (dark),The Heroes v2
The Green Divide (Trow),The Green Divide v1.1
The Great Divide (4 Team) v1.0,The Great Divide v1.0
Temple of the Trow (Light),Temple of the Trow T.E. v1.0
Still of Winter (FG),Still of Winter MWC2020 v1
River of Life  (Shadow),River of Life MWC2020 v1.1
Raisin Barn (team),"Raisin Barn II v1,2 MWC 2012"
Over Myrgard (2T Light),m3packTEv2
One is Not Enough (Light),One is Not Enough MWC2020 v1
One is Not Enough (Dark),One is Not Enough MWC2020 v1
No Compromise (2T Creep),Magma - Legacy of Myth v1.4
Monsoon Bay (Shadow),Monsoon Bay MWC2020 v1.1
Lichen Unto Death (Trow) ı.ı,grims2tpackv2
Ghols of the Borogrove (FG),Borogrove MWC2020 v1.2
Fosgarach Ruillick (v2),Fosgarach_Ruillick_v2
Final Hours (2T Shuffle),Magma - Legacy of Myth v1.3
Dun Caric T.E. 2-Team (Bre Shaman),Dun Caric Nu-Myth v2
Desert Ruins w/ R & AL2P (Light),Desert Ruins v1.01
Deathgorge (FG),Deathgorge T.E. v1.0
Dead of Winter
Cursed Earth (2 Team),Plagued Lands-mwc07
Creep on the Borderlands (Light),grims2tpackv2
Cloudspineless (Clash),Cloudspineless v1.3
Barbarian Valley T.E. - Special Ed,Barbarian Valley Tourney 2.2
Aztec Oranges 2-Team (Stormcasters),Aztec Nu-Myth v1
Arcane Haven 2t - FG,Arcane Haven bv0.92
Alpine Fantasy (MWC 2025),Magma - MythPack Volume 1 v4
A Day At The Beach (desert),Modus Operandi v1.1
A Day at the Beach (Dark),dayatthebeach
 Misplaced Hope (Cruelty),Magma - Legacy of Myth v1.4
 Critical Statement (2T Divide),Magma - Legacy of Myth v1.3
  All That Remains  (2 Team Trow),All That Remains 2013 TEv2
   Quip (Light),Chalk Hills - Redux
Valley of Ruin (2 Team MWC Dark),Magma - MythPack Volume 1 v5
Smells Like Blood In Here (Team),Smells_1.1G
River of Life  (Light),River of Life MWC2020 v1.1
Ravaged Earth - Light ı.ı,shatteredearthv2
Monsoon Bay (Light),Monsoon Bay MWC2020 v1.1
Yukigassen (Trow),Yukigassen MWC2020 v1.1
Yukigassen (Calm Before the Storm) 2-Team,yukimwc
Valley of Ruin (2 Team MWC Light),Magma - MythPack Volume 1 v4
Under Muirthemne (Dark),Under Muirthemne v1.31
Under Muirthemne (Alt-Light),Under Muirthemne v1.42
Twelve Duns (2 Team Light),tfvpackv1
Torn Asunder (Trow),Torn Asunder TE v1.0
Torn Asunder (Shadow),Torn Asunder TE v1.0
Torn Asunder (FG),Torn Asunder TE v1.0
Titus Groan (Light),Titus Groan T.E. v1.0
The Vessel (FG),The Vessel TE v1.0
The Tain: 4 Start (Light) (No Ambient Life),Magma - MythPack Volume 1 v5
The Snow Throughout Your Nose (MWC2018),DE4MWC2018
The Other Side (2T Trow),Magma - Legacy of Myth v1.5
The Heroes (trow),The Heroes v2
The Green Divide (Dark),The Green Divide v1.1
The Dark Kindred (2 Team),The Dark Kindred v2
The Barrens Trow,The Barrens MWC2020 v1.1
The Barrens FG,The Barrens MWC2020 v1.1
Thaw Before the Storm,thaw
Temple of the Trow (Shadow),Temple of the Trow T.E. v1.0
Temple of the Trow (FG),Temple of the Trow T.E. v1.0
Temple of Light (Light),Temple of Light T.E. v1.0
Smash the Mirror TE (Shadow),Smash the Mirror TE v1.02
Smash the Mirror TE (Dark),Smash the Mirror TE v1.02
Shimedaiko (Light),Shimedaiko MWC2021 T.E. v1.6
Shimedaiko (Dark),Shimedaiko MWC2021 T.E. v1.8
Season of Slaughter (2T Light),m3packTEv2
Rest in Pieces,Magma - The Fallen Lords DX 1.3
Rain of the Borogrove (Trow),Borogrove MWC2020 v1.2
Over Myrgard (2T Hearthguard),m3packTEv2
Over Myrgard (2T Dark),m3packTEv2
Mjilaphobia (MWC2018),DE4MWC2018
Lichen Unto Death (Trow),Lichen Unto Death MWC2020 v1.1
Lichen Unto Death (FG),Lichen Unto Death MWC2020 v1.1
Leagues from Somewhere (Dark),leaguesfromsomewherev3
Jungle's Edge (Alternative Light),Magma - MythPack Volume 2 v2
Highlands (2t trow),Highlands TE (1.2)
Green Paradise (2t light),Green Paradise TE (1.2)
GraveDiggers (Trow),GraveDiggers T.E. v1.0
GraveDiggers (Dark),GraveDiggers T.E. v1.0
Going to Town (Trow),Going to Town MWC2020 v1.4
Going to Town (Dark) - Two Team,Going to Town TE v1
Eyrie (Light),eyrietefinalv3
Dun Caric T.E. 2-Team (Trow),Dun Caric Teams v1.03
Drowned Empire (MWC2018),DE4MWC2018
Desperation in Tow (Dark),Magma - Legacy of Myth v1.5
Death in the Dire Marsh,Magma - The Fallen Lords DX 1.3
Dead Man's Plank,Zeph's New Bungie Mesh Pack
Clash of the Changelings,RemnantsTWS
Break the Wheel (2-team light),Break the Wheel TE v1.0
Belly of the Beast (Trow),Belly of the Beast MWC2020 v1.0
Beckoning Wilds (FG),Beckoning Wilds TE v1
An Axe to Grind (Trow),An Axe to Grind TE v1.0
An Axe to Grind (Dark),An Axe to Grind TE v1.1
Alpine Daydream (MWC 2025),Magma - MythPack Volume 1 v4
  All That Remains  (2 Team Trow),All That Remains 2013 TEv2
Acts of Insanity,Acts of Piety v1.0
A Slaughter in the Hills (2 Team Trow),tfvpackv1
A Slaughter in the Hills (2 Team Light),tfvpackv1
A Slaughter in the Hills (2 Team FG),tfvpackv1
A Poison Holiday (Light),grims2tpackv3
A Fortress in the Dunes (2 Team FG),tfvpackv1
"Krakatoa (teams, dark)",Krakatoa MWC2020 v1.0
 Stairs of Covenant (2Teams),Behind the Library v2
 Myopia (FG),Myopia MWC2020 v1.3
 Grilling Grounds (MWC2018),DE4MWC2018
 Before Your Eyes (2T Desert),Magma - Legacy of Myth v1.5
  All That Remains  (2 Team Light),All That Remains 2013 TEv2

85gy
85gi
drgp
52ro
82ps
82pr
86mf
86mg
87lb
87la
83kg
83ta
84tf
84ft
vene
89sn
code
80tr
i'do
53if

71bg,Patch 1.8.5 Maps
84fd,Patch 1.8.5 Maps
89sd,Patch 1.8.5 Maps
78il,Patch 1.8.5 Maps
50gt,Patch 1.8.5 Maps
80gt,Patch 1.8.5 Maps
50gu,Patch 1.8.5 Maps
81gt,Patch 1.8.5 Maps
78cd,Patch 1.8.5 Maps
78cm,Patch 1.8.5 Maps
80co,Patch 1.8.5 Maps
sand,Patch 1.8.5 Maps
85an,Patch 1.8.5 Maps
81fd,Patch 1.8.5 Maps
fore,Patch 1.8.5 Maps
10bd,Patch 1.8.5 Maps
10bl,Patch 1.8.5 Maps
10cf,Patch 1.8.5 Maps

krcl,Magma - MythPack Volume 2 v2
88ll,Lichen_Final
00dt,Desert Ruins v1.02
crmw,Magma - MythPack Volume 2 v2
scao,Magma - MythPack Volume 2 v2

know,Knuckle of the Oasis v1.1
smlt,Smells_1.1G
rioo,River of Life MWC2020 v1.1
45ap,tfvpackv1
45td,tfvpackv1

202t,Whirlwind v2
00wc,Magma - Legacy of Myth v1.5
z aj,Arcane Haven bv0.92
00ro,Magma - Legacy of Myth v1.5
mamo,A Poison Holiday 2007 MWC

00gt,GraveDiggers T.E. v1.0
00tp,Temple of Light T.E. v1.0
77cd,An Axe to Grind TE v1.1
JuEA,Magma - MythPack Volume 2 v2
00tf,Torn Asunder TE v1.0
katm,Magma - MythPack Volume 2 v2
13HJ,Hanging Gardens TE

00di,Magma - Legacy of Myth v1.5
brtx,Break the Wheel TE v1.0
resa,Redsand_v1
knou,Knuckle of the Oasis v1.1
000`,Let Nyx Sort 'Em Out v1.3
grhe,Green Paradise v1.1
pass,Dun_Caric
tkao,mockingbird_v1.0
brtw,Break the Wheel TE v1.0
47rb,Raisin Barn II v3
40dq,Magma - Legacy of Myth v1.5
10t5,Twister v1.3
